[03:43:27] ============================================================
[03:43:27] Grid.gg 完整数据下载器 v2
[03:43:27] 使用二分法版本检测 + 动态查询构建
[03:43:27] 输出目录: /www/wwwroot/AI-Drafting-Assistant/data/grid_v2
[03:43:27] ============================================================
[03:43:27] 共 1632 场比赛，使用 10 个并行线程
[03:45:10] [237/1632] 2825076: OK v3.42 (2g)
[03:45:10] [238/1632] 2825321: OK v3.42 (3g)
[03:45:10] [239/1632] 2825320: OK v3.42 (3g)
[03:45:11] [240/1632] 2820971: OK v3.42 (2g)
[03:45:12] [241/1632] 2825319: OK v3.42 (3g)
[03:45:12] [242/1632] 2825317: OK v3.42 (2g)
[03:45:13] [243/1632] 2820970: OK v3.42 (2g)
[03:45:13] [244/1632] 2820969: OK v3.42 (3g)
[03:45:13] [245/1632] 2820968: OK v3.42 (3g)
[03:45:13] [246/1632] 2825318: OK v3.42 (3g)
[03:45:14] [247/1632] 2825316: OK v3.42 (2g)
[03:45:14] [248/1632] 2820967: OK v3.42 (2g)
[03:45:14] [249/1632] 2825315: OK v3.42 (2g)
[03:45:15] [250/1632] 2820966: OK v3.42 (2g)
[03:45:15] --- 250/1632 (139.8/min) ---
[03:45:16] [251/1632] 2820965: OK v3.42 (2g)
[03:45:17] [252/1632] 2825314: OK v3.42 (3g)
[03:45:17] [253/1632] 2825313: OK v3.42 (2g)
[03:45:17] [254/1632] 2820964: OK v3.42 (3g)
[03:45:17] [255/1632] 2825312: OK v3.42 (2g)
[03:45:17] [256/1632] 2825311: OK v3.42 (3g)
[03:45:18] [257/1632] 2825310: OK v3.42 (2g)
[03:45:18] [258/1632] 2825309: OK v3.42 (3g)
[03:45:18] [259/1632] 2825308: OK v3.42 (3g)
[03:45:19] [260/1632] 2825306: OK v3.42 (2g)
[03:45:20] [261/1632] 2825305: OK v3.42 (3g)
[03:45:21] [262/1632] 2825304: OK v3.42 (3g)
[03:45:21] [263/1632] 2825303: OK v3.42 (2g)
[03:45:21] [264/1632] 2796222: OK v3.42 (5g)
[03:45:21] [265/1632] 2796158: OK v3.42 (3g)
[03:45:21] [266/1632] 2782499: OK v3.42 (3g)
[03:45:22] [267/1632] 2796220: OK v3.42 (3g)
[03:45:22] [268/1632] 2796157: OK v3.42 (4g)
[03:45:23] [269/1632] 2811017: OK v3.42 (4g)
[03:45:23] [270/1632] 2782498: OK v3.42 (4g)
[03:45:24] [271/1632] 2811016: OK v3.42 (4g)
[03:45:25] [272/1632] 2796217: OK v3.42 (4g)
[03:45:25] [273/1632] 2815720: OK v3.42 (5g)
[03:45:25] [274/1632] 2811015: OK v3.42 (3g)
[03:45:25] [275/1632] 2811014: OK v3.42 (5g)
[03:45:25] [276/1632] 2796156: OK v3.42 (4g)
[03:45:26] [277/1632] 2810967: OK v3.42 (4g)
[03:45:26] [278/1632] 2811013: OK v3.42 (5g)
[03:45:27] [279/1632] 2782497: OK v3.42 (3g)
[03:45:27] [280/1632] 2796218: OK v3.42 (5g)
[03:45:28] [281/1632] 2796155: OK v3.42 (3g)
[03:45:29] [282/1632] 2811012: OK v3.42 (4g)
[03:45:29] [283/1632] 2810966: OK v3.42 (5g)
[03:45:30] [284/1632] 2814253: OK v3.42 (3g)
[03:45:30] [285/1632] 2811011: OK v3.42 (4g)
[03:45:30] [286/1632] 2811009: OK v3.42 (5g)
[03:45:30] [287/1632] 2812787: OK v3.42 (3g)
[03:45:31] [288/1632] 2811008: OK v3.42 (4g)
[03:45:31] [289/1632] 2810964: OK v3.42 (3g)
[03:45:32] [290/1632] 2811007: OK v3.42 (3g)
[03:45:33] [291/1632] 2796215: OK v3.42 (3g)
[03:45:33] [292/1632] 2810851: OK v3.42 (4g)
[03:45:34] [293/1632] 2796153: OK v3.42 (4g)
[03:45:34] [294/1632] 2782493: OK v3.42 (2g)
[03:45:34] [295/1632] 2782494: OK v3.42 (3g)
[03:45:34] [296/1632] 2811006: OK v3.42 (5g)
[03:45:34] [297/1632] 2811005: OK v3.42 (3g)
[03:45:35] [298/1632] 2796214: OK v3.42 (4g)
[03:45:35] [299/1632] 2796154: OK v3.42 (4g)
[03:45:36] [300/1632] 2810850: OK v3.42 (4g)
[03:45:36] --- 300/1632 (140.3/min) ---
[03:45:37] [301/1632] 2811004: OK v3.42 (3g)
[03:45:38] [302/1632] 2782492: OK v3.42 (2g)
[03:45:38] [303/1632] 2782491: OK v3.42 (2g)
[03:45:38] [304/1632] 2811003: OK v3.42 (4g)
[03:45:38] [305/1632] 2782490: OK v3.42 (3g)
[03:45:38] [306/1632] 2782489: OK v3.42 (2g)
[03:45:39] [307/1632] 2782488: OK v3.42 (3g)
[03:45:39] [308/1632] 2782487: OK v3.42 (4g)
[03:45:39] [309/1632] 2782486: OK v3.42 (2g)
