ally_has_adc_core,ally_has_single_core,ally_missing_cc,ally_missing_frontline,execution_difficulty,hero_dpm,hero_damage_pct,hero_forward_pct,hero_kda,hero_kp,hero_dpm_per_gold,stage_early,stage_mid,stage_late,counter_label
1,1,1,0,0.5,598.6278981435805,1.9791873467071643,34.68284525950314,11.0,78.57142857142857,2.0880679475550425,0,1,0,0
1,1,1,0,0.5,7296.751011563628,28.59968605140216,13.418013316543556,0.9555555555555556,57.93650793650793,24.583700401109496,0,1,0,0
0,0,1,1,0.3,6370.543856667922,24.05974847895955,25.83194453954328,0.8,28.57142857142857,17.278601282574755,1,0,0,1
0,0,1,1,0.3,8287.481028398695,26.983209434859777,27.266544891182203,3.0,64.28571428571429,24.592143107681515,1,0,0,1
0,0,1,1,0.3,328.8174486722637,1.070596729326607,37.42964944105683,3.333333333333333,71.42857142857143,1.3710202069985211,1,0,0,1
0,0,1,1,0.3,5567.659526161002,18.55806000941744,36.54500034220483,4.833333333333333,75.0,13.795456653759237,1,0,0,1
0,0,1,1,0.3,9449.04935998578,31.4288016309252,28.866554658713746,14.0,93.30357142857144,18.38884846276257,1,0,0,1
1,1,1,1,0.5,6370.543856667922,24.05974847895955,25.83194453954328,0.8,28.57142857142857,17.278601282574755,1,0,0,1
1,1,1,1,0.5,8287.481028398695,26.983209434859777,27.266544891182203,3.0,64.28571428571429,24.592143107681515,1,0,0,1
1,1,1,1,0.5,328.8174486722637,1.070596729326607,37.42964944105683,3.333333333333333,71.42857142857143,1.3710202069985211,1,0,0,1
1,1,1,1,0.5,5567.659526161002,18.55806000941744,36.54500034220483,4.833333333333333,75.0,13.795456653759237,1,0,0,1
1,1,1,1,0.5,9449.04935998578,31.4288016309252,28.866554658713746,14.0,93.30357142857144,18.38884846276257,1,0,0,1
1,1,1,1,0.5,6370.543856667922,24.05974847895955,25.83194453954328,0.8,28.57142857142857,17.278601282574755,1,0,0,1
1,1,1,1,0.5,8287.481028398695,26.983209434859777,27.266544891182203,3.0,64.28571428571429,24.592143107681515,1,0,0,1
1,1,1,1,0.5,328.8174486722637,1.070596729326607,37.42964944105683,3.333333333333333,71.42857142857143,1.3710202069985211,1,0,0,1
1,1,1,1,0.5,5567.659526161002,18.55806000941744,36.54500034220483,4.833333333333333,75.0,13.795456653759237,1,0,0,1
1,1,1,1,0.5,9449.04935998578,31.4288016309252,28.866554658713746,14.0,93.30357142857144,18.38884846276257,1,0,0,1
1,1,1,1,0.5,6370.543856667922,24.05974847895955,25.83194453954328,0.8,28.57142857142857,17.278601282574755,0,1,0,1
1,1,1,1,0.5,8287.481028398695,26.983209434859777,27.266544891182203,3.0,64.28571428571429,24.592143107681515,0,1,0,1
1,1,1,1,0.5,328.8174486722637,1.070596729326607,37.42964944105683,3.333333333333333,71.42857142857143,1.3710202069985211,0,1,0,1
1,1,1,1,0.5,5567.659526161002,18.55806000941744,36.54500034220483,4.833333333333333,75.0,13.795456653759237,0,1,0,1
1,1,1,1,0.5,9449.04935998578,31.4288016309252,28.866554658713746,14.0,93.30357142857144,18.38884846276257,0,1,0,1
1,1,1,0,0.5,6370.543856667922,24.05974847895955,25.83194453954328,0.8,28.57142857142857,17.278601282574755,0,1,0,1
1,1,1,0,0.5,8287.481028398695,26.983209434859777,27.266544891182203,3.0,64.28571428571429,24.592143107681515,0,1,0,1
1,1,1,0,0.5,328.8174486722637,1.070596729326607,37.42964944105683,3.333333333333333,71.42857142857143,1.3710202069985211,0,1,0,1
1,1,1,0,0.5,5567.659526161002,18.55806000941744,36.54500034220483,4.833333333333333,75.0,13.795456653759237,0,1,0,1
1,1,1,0,0.5,9449.04935998578,31.4288016309252,28.866554658713746,14.0,93.30357142857144,18.38884846276257,0,1,0,1
0,0,1,1,0.3,335.57410321764013,1.2493981391849944,34.17394003956942,5.083333333333333,80.75048732943469,1.3782497008162702,1,0,0,1
0,0,1,1,0.3,5142.348708376346,20.527841249060256,28.562242255750466,1.6444444444444446,69.81481481481482,14.421707444913425,1,0,0,1
0,0,1,1,0.3,8948.129344047089,32.58707659814953,27.604561943328523,10.25,87.31884057971014,22.235374016112832,1,0,0,1
0,0,1,1,0.3,4682.847897965929,15.866641235056134,47.7094714469521,4.0,40.0,12.664677530410833,1,0,0,1
0,0,1,1,0.3,7858.5662658574365,29.962621509110807,32.6879381225098,4.0,75.0,17.372048930280418,1,0,0,1
1,1,1,1,0.5,335.57410321764013,1.2493981391849944,34.17394003956942,5.083333333333333,80.75048732943469,1.3782497008162702,1,0,0,1
