ally_has_adc_core,ally_has_single_core,ally_missing_cc,ally_missing_frontline,execution_difficulty,ally_tank_count,ally_assassin_count,ally_mage_count,ally_engage_count,ally_cc_count,ally_mobility_count,ally_physical_ratio,ally_magic_ratio,hero_dpm,hero_damage_pct,hero_forward_pct,hero_kda,hero_kp,hero_dpm_per_gold,hero_is_assassin,hero_is_tank,hero_is_mage,hero_has_engage,hero_has_mobility,hero_has_burst,avg_matchup_win_rate,worst_matchup_win_rate,stage_early,stage_mid,stage_late,counter_label
1,1,1,1,0.4,0,0,1,1,0,1,0.6666666666666666,0.3333333333333333,4788.269583052335,17.1405186689969,30.173728484274463,7.333333333333333,53.96825396825397,13.152241609884411,0,1,0,1,0,0,0.3333333333333333,0.0,0,1,0,1
1,1,1,1,0.4,0,0,1,1,0,1,0.6666666666666666,0.3333333333333333,6732.57962312945,22.737930849496173,38.31563333993123,11.25,65.48611111111111,15.577507267717378,0,0,1,0,0,0,0.3333333333333333,0.0,0,1,0,1
1,1,1,1,0.4,0,0,1,1,0,1,0.6666666666666666,0.3333333333333333,514.0750495645852,1.8332598502488748,39.50993950735045,1.5,62.5,2.1799485311096007,0,0,0,1,0,0,0.5,0.5,0,1,0,1
1,1,1,1,0.4,0,0,1,1,0,1,0.6666666666666666,0.3333333333333333,8975.79424727345,30.02451602685894,30.722105666517976,11.5,73.80952380952382,23.188989905797985,0,0,0,1,0,0,0.5,0.5,0,1,0,1
1,1,1,1,0.4,0,0,1,1,0,1,0.6666666666666666,0.3333333333333333,7965.048884761611,29.30212837520501,35.704700908200444,6.166666666666667,79.16666666666667,16.92316123786964,0,0,0,0,0,0,0.3333333333333333,0.0,0,1,0,1
1,1,1,1,0.4,0,0,1,1,1,1,0.6666666666666666,0.3333333333333333,4788.269583052335,17.1405186689969,30.173728484274463,7.333333333333333,53.96825396825397,13.152241609884411,0,1,0,1,0,0,0.375,0.0,0,1,0,1
1,1,1,1,0.4,0,0,1,1,1,1,0.6666666666666666,0.3333333333333333,6732.57962312945,22.737930849496173,38.31563333993123,11.25,65.48611111111111,15.577507267717378,0,0,1,0,0,0,0.375,0.0,0,1,0,1
1,1,1,1,0.4,0,0,1,1,1,1,0.6666666666666666,0.3333333333333333,514.0750495645852,1.8332598502488748,39.50993950735045,1.5,62.5,2.1799485311096007,0,0,0,1,0,0,0.5,0.5,0,1,0,1
1,1,1,1,0.4,0,0,1,1,1,1,0.6666666666666666,0.3333333333333333,8975.79424727345,30.02451602685894,30.722105666517976,11.5,73.80952380952382,23.188989905797985,0,0,0,1,0,0,0.5,0.5,0,1,0,1
1,1,1,1,0.4,0,0,1,1,1,1,0.6666666666666666,0.3333333333333333,7965.048884761611,29.30212837520501,35.704700908200444,6.166666666666667,79.16666666666667,16.92316123786964,0,0,0,0,0,0,0.375,0.0,0,1,0,1
0,0,1,1,0.5,0,0,0,0,0,0,0.5,0.5,7381.206581352833,26.66896530541677,17.137797074954296,2.5,58.82352941176471,15.804591627033057,1,0,0,0,1,0,0.5,0.5,1,0,0,0
0,0,1,1,0.5,0,0,0,0,0,0,0.5,0.5,7802.057066554315,26.67221892941336,21.09034483363937,10.25,66.44385026737967,17.53570052747739,0,0,0,0,0,0,0.5,0.5,1,0,0,0
0,0,1,1,0.5,0,0,0,0,0,0,0.5,0.5,8298.318035117814,29.123317155906573,17.7544438676355,3.388888888888889,63.8235294117647,25.403586806283105,0,1,0,1,0,0,0.5,0.5,1,0,0,0
0,0,1,1,0.5,0,0,0,0,0,0,0.5,0.5,331.8291148903781,1.2266325012353505,31.573439490371765,4.229166666666666,75.2687478500172,1.385571455722966,0,0,0,1,0,0,0.5,0.5,1,0,0,0
0,0,1,1,0.5,0,0,0,0,0,0,0.5,0.5,5556.84563504182,19.63738295065067,28.33777932342755,7.35,64.91978609625669,13.180281885960476,1,0,0,0,1,0,0.5,0.5,1,0,0,0
0,0,1,1,0.3,0,0,0,0,0,0,1.0,0.0,7381.206581352833,26.66896530541677,17.137797074954296,2.5,58.82352941176471,15.804591627033057,1,0,0,0,1,0,1.0,1.0,1,0,0,0
0,0,1,1,0.3,0,0,0,0,0,0,1.0,0.0,7802.057066554315,26.67221892941336,21.09034483363937,10.25,66.44385026737967,17.53570052747739,0,0,0,0,0,0,1.0,1.0,1,0,0,0
0,0,1,1,0.3,0,0,0,0,0,0,1.0,0.0,8298.318035117814,29.123317155906573,17.7544438676355,3.388888888888889,63.8235294117647,25.403586806283105,0,1,0,1,0,0,1.0,1.0,1,0,0,0
0,0,1,1,0.3,0,0,0,0,0,0,1.0,0.0,331.8291148903781,1.2266325012353505,31.573439490371765,4.229166666666666,75.2687478500172,1.385571455722966,0,0,0,1,0,0,1.0,1.0,1,0,0,0
